DJID,Genotype,Experimental Eye,Control Eye,Time_Condition
2143,het,R,L,30
2146,homo,R,L,30
3101,homo,L,R,30
2006,het,L,R,30
3201,homo,L,R,30
2007,het,R,L,30
3203,homo,L,R,30
3111,het,R,L,30
3318,homo,R,L,30
3574,homo,R,L,90
3529,wildtype,L,R,60
3527,het,R,L,15
3420,homo,L,R,15
3575,het,L,R,90
3557,homo,R,L,60
3526,het,L0,L1,30
3558,homo,R0,R1,30
3604,homo,L,R,30
3606,homo,R,L,90
3656,homo,R,L,60
3653,homo,L,R,30
3654,homo,L,R,15
3603,het,L,R,90
3607,het,R,L,60
3608,het,R,L,30
3655,het,R,L,15
3657,het,L,R,30