Stain_Name,Laser_Wavelength,Laser_Power,PMT_HV,PMT_Offset,file_name
DAPI,405.0,6.0,135,0,2006L_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,2006L_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,2006L_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,80,0,2006L_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,2006L_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,2006L_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,2006L_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,80,0,2006L_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,2006L_GLUT1_647_WGA_594_0003
EGFP/Tusc,488.0,1.0,70,0,2006L_GLUT1_647_WGA_594_0003
WGA594,561.0,0.8,50,0,2006L_GLUT1_647_WGA_594_0003
GLUT1 647,640.0,2.0,80,0,2006L_GLUT1_647_WGA_594_0003
DAPI,405.0,6.0,135,0,2006R_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,2006R_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,2006R_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,80,0,2006R_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,2006R_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,2006R_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,2006R_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,80,0,2006R_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,2007L_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,2007L_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,2007L_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,80,0,2007L_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,2007L_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,2007L_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,2007L_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,80,0,2007L_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,2007R_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,2007R_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,2007R_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,100,0,2007R_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,2007R_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,2007R_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,2007R_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,100,0,2007R_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,3101R_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,3101R_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,3101R_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,80,0,3101R_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,3101R_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,3101R_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,3101R_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,80,0,3101R_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,3201L_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,3201L_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,3201L_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,85,0,3201L_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,3203L_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,3203L_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,3203L_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,100,0,3203L_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,3203L_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,3203L_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,3203L_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,100,0,3203L_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,3203R_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,3203R_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,3203R_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,80,0,3203R_GLUT1_647_WGA_594_0001
DAPI,405.0,6.0,135,0,3203R_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.0,70,0,3203R_GLUT1_647_WGA_594_0002
WGA594,561.0,0.8,50,0,3203R_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,2.0,80,0,3203R_GLUT1_647_WGA_594_0002
DAPI,405.0,6.0,135,0,3318L_GLUT1_647_WGA_594_0003
EGFP/Tusc,488.0,1.0,70,0,3318L_GLUT1_647_WGA_594_0003
WGA594,561.0,0.8,50,0,3318L_GLUT1_647_WGA_594_0003
GLUT1 647,640.0,2.0,80,0,3318L_GLUT1_647_WGA_594_0003
DAPI,405.0,6.0,135,0,3318L_GLUT1_647_WGA_594_0004
EGFP/Tusc,488.0,1.0,70,0,3318L_GLUT1_647_WGA_594_0004
WGA594,561.0,0.8,50,0,3318L_GLUT1_647_WGA_594_0004
GLUT1 647,640.0,2.0,80,0,3318L_GLUT1_647_WGA_594_0004
DAPI,405.0,6.0,135,0,3318R_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.0,70,0,3318R_GLUT1_647_WGA_594_0001
WGA594,561.0,0.8,50,0,3318R_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,2.0,100,0,3318R_GLUT1_647_WGA_594_0001
DAPI,405.0,1.0,110,0,3420L_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.8,70,0,3420L_GLUT1_647_WGA_594_0001
WGA594,561.0,0.9,85,0,3420L_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,1.9,100,0,3420L_GLUT1_647_WGA_594_0001
DAPI,405.0,1.0,110,0,3420L_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.8,70,0,3420L_GLUT1_647_WGA_594_0002
WGA594,561.0,0.9,85,0,3420L_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,1.9,100,0,3420L_GLUT1_647_WGA_594_0002
DAPI,405.0,1.0,110,0,3420L_GLUT1_647_WGA_594_0003
EGFP/Tusc,488.0,1.8,70,0,3420L_GLUT1_647_WGA_594_0003
WGA594,561.0,0.9,85,0,3420L_GLUT1_647_WGA_594_0003
GLUT1 647,640.0,1.9,100,0,3420L_GLUT1_647_WGA_594_0003
DAPI,405.0,1.0,90,0,3420RA_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.8,70,0,3420RA_GLUT1_647_WGA_594_0001
WGA594,561.0,0.9,85,0,3420RA_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,1.9,100,0,3420RA_GLUT1_647_WGA_594_0001
DAPI,405.0,1.0,90,0,3420RA_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.8,70,0,3420RA_GLUT1_647_WGA_594_0002
WGA594,561.0,0.9,85,0,3420RA_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,1.9,100,0,3420RA_GLUT1_647_WGA_594_0002
DAPI,405.0,1.0,90,0,3420RA_GLUT1_647_WGA_594_0003
EGFP/Tusc,488.0,1.8,70,0,3420RA_GLUT1_647_WGA_594_0003
WGA594,561.0,0.9,85,0,3420RA_GLUT1_647_WGA_594_0003
GLUT1 647,640.0,1.9,100,0,3420RA_GLUT1_647_WGA_594_0003
DAPI,405.0,6.0,120,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3527LC_dark_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,6.0,120,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,6.0,120,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_004
EGFP/Tusc,488.0,1.0,75,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_004
WGA594,561.0,0.8,50,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_004
GLUT1 647,640.0,2.0,100,0,3527LD_dark_WGA594_GLUT1_647_TUSC5_004
DAPI,405.0,6.0,120,0,3527RA_light_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3527RA_light_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3527RA_light_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3527RA_light_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3527RA_light_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3527RA_light_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3527RA_light_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3527RA_light_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3527RA_light_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3527RA_light_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3527RA_light_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3527RA_light_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,1.0,125,0,3529RC_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.8,70,0,3529RC_GLUT1_647_WGA_594_0001
WGA594,561.0,0.9,85,0,3529RC_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,1.9,100,0,3529RC_GLUT1_647_WGA_594_0001
DAPI,405.0,1.0,110,0,3529RD_GLUT1_647_WGA_594_0001
EGFP/Tusc,488.0,1.8,70,0,3529RD_GLUT1_647_WGA_594_0001
WGA594,561.0,0.9,85,0,3529RD_GLUT1_647_WGA_594_0001
GLUT1 647,640.0,1.9,100,0,3529RD_GLUT1_647_WGA_594_0001
DAPI,405.0,1.0,110,0,3529RD_GLUT1_647_WGA_594_0002
EGFP/Tusc,488.0,1.8,70,0,3529RD_GLUT1_647_WGA_594_0002
WGA594,561.0,0.9,85,0,3529RD_GLUT1_647_WGA_594_0002
GLUT1 647,640.0,1.9,100,0,3529RD_GLUT1_647_WGA_594_0002
DAPI,405.0,1.0,125,0,3529RD_GLUT1_647_WGA_594_0003
EGFP/Tusc,488.0,1.8,70,0,3529RD_GLUT1_647_WGA_594_0003
WGA594,561.0,0.9,85,0,3529RD_GLUT1_647_WGA_594_0003
GLUT1 647,640.0,1.9,100,0,3529RD_GLUT1_647_WGA_594_0003
DAPI,405.0,6.0,120,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3574LC_dark_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,6.0,120,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3574LD_dark_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,6.0,120,0,3574RA_light_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3574RA_light_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3574RA_light_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3574RA_light_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3574RA_light_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3574RA_light_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3574RA_light_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3574RA_light_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3574RA_light_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3574RA_light_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3574RA_light_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3574RA_light_WGA594_GLUT1_647_TUSC5_003
DAPI,405.0,6.0,120,0,3574RB_light_WGA594_GLUT1_647_TUSC5_001
EGFP/Tusc,488.0,1.0,75,0,3574RB_light_WGA594_GLUT1_647_TUSC5_001
WGA594,561.0,0.8,50,0,3574RB_light_WGA594_GLUT1_647_TUSC5_001
GLUT1 647,640.0,2.0,100,0,3574RB_light_WGA594_GLUT1_647_TUSC5_001
DAPI,405.0,6.0,120,0,3574RB_light_WGA594_GLUT1_647_TUSC5_002
EGFP/Tusc,488.0,1.0,75,0,3574RB_light_WGA594_GLUT1_647_TUSC5_002
WGA594,561.0,0.8,50,0,3574RB_light_WGA594_GLUT1_647_TUSC5_002
GLUT1 647,640.0,2.0,100,0,3574RB_light_WGA594_GLUT1_647_TUSC5_002
DAPI,405.0,6.0,120,0,3574RB_light_WGA594_GLUT1_647_TUSC5_003
EGFP/Tusc,488.0,1.0,75,0,3574RB_light_WGA594_GLUT1_647_TUSC5_003
WGA594,561.0,0.8,50,0,3574RB_light_WGA594_GLUT1_647_TUSC5_003
GLUT1 647,640.0,2.0,100,0,3574RB_light_WGA594_GLUT1_647_TUSC5_003
